year,month,gscpi_shock
2003,11,-0.12446703392095254
2003,12,0.03012302291647534
2004,1,-0.17110057623409775
2004,2,0.09384821258116377
2004,3,0.3278750684767476
2004,4,0.36487699860536205
2004,5,-0.06857242375301786
2004,6,0.08301287444290167
2004,7,-0.8409581136094044
2004,8,0.5914191070117305
2004,9,-0.15108755661451279
2004,10,-0.5875799947647753
2004,11,0.5724121626335043
2004,12,0.08529349281463047
2005,1,-0.23677723457496241
2005,2,0.01040162152403297
2005,3,-0.1600795114132279
2005,4,-1.0514146180290007
2005,5,0.35709640848906576
2005,6,-0.07160511453699703
2005,7,-0.029272247476142432
2005,8,0.3014140687720869
2005,9,0.4897610451995996
2005,10,-0.22064116298358402
2005,11,-0.553332835146033
2005,12,-0.04397522005784382
2006,1,0.2819896695169737
2006,2,-0.4349595290232357
2006,3,0.3270665988290249
2006,4,0.41326748725515994
2006,5,-0.05911588775572742
2006,6,0.06901517179608843
2006,7,-0.25880340242983296
2006,8,0.18314446917592747
2006,9,-0.7216018743289584
2006,10,0.1569256867157307
2006,11,0.22704049697904657
2006,12,-0.28623144054672905
2007,1,-0.42051768806359485
2007,2,0.13575641797163385
2007,3,0.04493928678255987
2007,4,-0.3030159441260615
2007,5,0.37448609368122787
2007,6,-0.04418850909589034
2007,7,-0.09986339992155324
2007,8,0.3061379672873988
2007,9,0.009527437290100527
2007,10,-0.5859065480082429
2007,11,0.14751251191638487
2007,12,0.27921517555437825
2008,1,-0.2823969172227696
2008,2,0.8310178590406108
2008,3,-0.3805244733467019
2008,4,0.024298198780253744
2008,5,-0.2366349807116201
2008,6,0.40874994555920785
2008,7,0.6989202535677663
2008,8,-0.7412108783596483
2008,9,-0.7052895771801796
2008,10,-0.3822218727406538
2008,11,-0.5784334529706283
2008,12,0.7713851634006764
2009,1,0.13940064005559183
2009,2,-0.0994673611657968
2009,3,0.5918624323064254
2009,4,0.5874560329235251
2009,5,-0.5255152088982742
2009,6,-0.7516621330420132
2009,7,-0.17478118597105097
2009,8,-0.41862001454635767
2009,9,0.5922103265165661
2009,10,-0.08850604742233531
2009,11,-0.3800699746124538
2009,12,0.15662413617751159
2010,1,0.21539468769643977
2010,2,0.10462451562278699
2010,3,0.48161647574474065
2010,4,-0.10624990502085269
2010,5,0.16913158746692952
2010,6,-0.4560089213675674
2010,7,0.04455550555707546
2010,8,0.3404283656501634
2010,9,0.04318875097240965
2010,10,0.32212553937008087
2010,11,-0.2091712234950836
2010,12,0.3100081494699364
2011,1,0.09200349559365673
2011,2,-0.35749058748431684
2011,3,0.4496932512487695
2011,4,0.8880940025377873
2011,5,-0.667816987588284
2011,6,-0.582673402705363
2011,7,0.1927064372340519
2011,8,-0.37751695508736755
2011,9,-0.41273363048869494
2011,10,0.18490180513200716
2011,11,0.46235722573789834
2011,12,-0.23690205795343422
2012,1,0.44317444316378496
2012,2,-0.3990423912964267
2012,3,-0.33077786520490937
2012,4,0.05363008492003146
2012,5,-0.38055252631448044
2012,6,-0.04416819297426644
2012,7,-0.04063092899099263
