year,month,imf_shock
2003,11,-0.020083208730412277
2003,12,0.04785121603223111
2004,1,0.01772383902344204
2004,2,-0.012131876375312777
2004,3,0.04067268026627669
2004,4,7.082528462240435e-4
2004,5,0.03697029428383073
2004,6,-0.03302135462330119
2004,7,0.01786401211809946
2004,8,0.008810345027203037
2004,9,-0.006339837831059363
2004,10,0.07904030829822425
2004,11,-0.06062966268399432
2004,12,-0.012461528299536333
2005,1,0.033100068103657405
2005,2,0.009875667100080388
2005,3,0.08094042561979205
2005,4,-0.025814078915049696
2005,5,-0.03183853986749039
2005,6,0.05417370870146964
2005,7,0.01167944299487731
2005,8,0.054569815002207644
2005,9,0.01478750457814031
2005,10,-0.022538551516983682
2005,11,-0.06007246309421476
2005,12,0.06356998520293179
2006,1,0.0011790162414196583
2006,2,-0.026778456136411416
2006,3,0.011514121879337758
2006,4,0.0809584429985196
2006,5,0.008305461785489944
2006,6,-0.036660227138449755
2006,7,0.04694436250718461
2006,8,-0.005859863516027753
2006,9,-0.09244615118667898
2006,10,0.006031253791507204
2006,11,0.025891901208950047
2006,12,0.009163659793891154
2007,1,-0.05430699193887211
2007,2,0.0686640269813535
2007,3,0.004778202033330545
2007,4,0.05078310671307677
2007,5,-0.016203680459866317
2007,6,-0.0016836053862430609
2007,7,0.02065299878266836
2007,8,-0.04213911942679541
2007,9,0.06228333863511804
2007,10,0.045190756041918384
2007,11,0.03968192155777392
2007,12,-0.019681232417295465
2008,1,0.03572818776146476
2008,2,0.03376159298850154
2008,3,0.045028547027541894
2008,4,0.020522465135574503
2008,5,0.06211999827443699
2008,6,0.03008825365380038
2008,7,-0.008257071282357371
2008,8,-0.12116861309510409
2008,9,-0.06305268643974198
2008,10,-0.1892253888167181
2008,11,-0.12782071347615195
2008,12,-0.08829008951081871
2009,1,0.059917335168041846
2009,2,-0.049500084398155904
2009,3,0.01689519267312887
2009,4,0.01773836395739904
2009,5,0.0781785974661552
2009,6,0.05241432573717025
2009,7,-0.07209933679626623
2009,8,0.06599364570817585
2009,9,-0.043889786660161856
2009,10,0.07264172899154486
2009,11,0.014146207405354997
2009,12,0.005409025003486417
2010,1,0.032201504622047156
2010,2,-0.04146098802568803
2010,3,0.04120808493690085
2010,4,0.03410598418300665
2010,5,-0.10059177731686636
2010,6,0.0068138323948940885
2010,7,0.008587097252338267
2010,8,0.015376797743487583
2010,9,0.01237356570470485
2010,10,0.04317361026763129
2010,11,0.01283429123922236
2010,12,0.04699637265310066
2011,1,0.017476520579264906
2011,2,0.0257869973745841
2011,3,0.029846463604069114
2011,4,0.03821051655958595
2011,5,-0.05691780199646684
2011,6,-0.0012138574081362354
2011,7,0.017758682455570808
2011,8,-0.03596107258376502
2011,9,-0.008999644182783713
2011,10,-0.023350081361124625
2011,11,0.0213936404863575
2011,12,-0.0270746350459423
2012,1,0.020544225754973427
2012,2,0.025560056758097367
2012,3,0.010150417064069918
2012,4,-0.02632558844836307
2012,5,-0.05720515728289127
2012,6,-0.06640199837714941
2012,7,0.0575805209880058
2012,8,0.02498015222272473
2012,9,8.689517714449493e-4
2012,10,-0.020994048784023195
2012,11,-0.013207881620829339
2012,12,0.004001874303126098
2013,1,0.0145984817608233
2013,2,9.526457786150338e-4
2013,3,-0.02526364978409179
2013,4,-0.016771528861009913
2013,5,0.0015584121944697102
2013,6,-0.01554555061492368
2013,7,0.00949819346593108
2013,8,0.008705207152977106
2013,9,-0.008450522563812348
2013,10,-0.016990467837734412
2013,11,-0.011115256495452256
2013,12,0.024451063337127807
2014,1,-0.015700169175235635
2014,2,0.02590744502034479
2014,3,-0.009955275982502915
2014,4,0.006401688992413907
2014,5,-0.011430612029243885
2014,6,0.004117827303802937
2014,7,-0.026557160321132676
2014,8,-0.03098512718520309
2014,9,-0.023139831999110166
2014,10,-0.05138311845915815
2014,11,-0.032965346402824586
2014,12,-0.09017261311275679
2015,1,-0.07706328874828351
2015,2,0.051915534570757094
2015,3,-0.04323619084725144
2015,4,0.018043291340273982
2015,5,0.025393222948845294
2015,6,-0.030929746212169845
2015,7,-0.05324781519925211
2015,8,-0.053439616574947696
2015,9,0.010904466273066822
2015,10,5.027645054400233e-4
2015,11,-0.06307166577185956
2015,12,-0.045227555726826976
2016,1,-0.0464879763109935
2016,2,0.03358655056891727
2016,3,0.065474726819623
2016,4,0.013920269092006585
2016,5,0.02826416034400487
2016,6,0.013328300902359104
