year,month,bh_oil_supply_shock,bh_oil_price_exp_shock
2017,2,-0.8188907,-0.015390639
2017,3,-0.160746675,0.008195254
2017,4,-0.780427474,-0.034526155
2017,5,1.651524988,-0.009941116
2017,6,0.396306292,0.010975194
2017,7,-0.402605443,0.002309719
2017,8,-1.247196231,-0.026956357
2017,9,-0.924511085,0.018962792
2017,10,-0.693838475,0.028541129
2017,11,-1.188632118,-0.004838895
2017,12,-1.416872159,0.014788336
2018,1,-0.630246806,0.079346734
2018,2,-0.313203033,0.042497165
2018,3,-0.535107697,0.042497202
2018,4,-0.433148182,0.005156906
2018,5,-0.757103325,0.026223028
2018,6,0.061007915,-0.004428461
2018,7,0.892259508,0.081142185
2018,8,-0.182952438,-0.011002131
2018,9,-0.288813575,0.018042426
2018,10,1.111002719,0.03730757
2018,11,1.425055207,0.021488865
2018,12,0.553150082,-0.004842168
2019,1,-3.137380377,-0.159380078
2019,2,-0.313550517,0.053177882
2019,3,-0.316514517,0.064698545
2019,4,-1.012556495,0.041389036
2019,5,-0.270923187,-0.023303006
2019,6,0.906429604,0.043489651
2019,7,-1.338561621,-0.036383119
2019,8,1.20264538,0.048306916
2019,9,-2.82624889,-0.020533025
2019,10,2.197883465,0.03543105
2019,11,0.509516816,0.013882657
2019,12,0.05542455,0.051928335
2020,1,-0.200389629,0.043806793
2020,2,1.921918805,0.051762089
2020,3,3.393243441,-0.103955439
2020,4,2.852690536,-0.316620673
2020,5,-10.86347445,-0.148007889
2020,6,-3.485438942,-0.034439115
2020,7,-1.312088728,0.08244951
2020,8,-0.523391666,0.04118185
2020,9,0.37978365,0.065173159
2020,10,-1.677092276,0.041783333
2020,11,0.952046189,0.002183723
2020,12,-2.319522516,0.023239423
2021,1,-0.487187469,0.08085632
2021,2,-1.946458038,0.086318243
2021,3,1.529125059,0.033849011
2021,4,-0.85495568,0.007530775
2021,5,-0.032619355,-0.048197453
2021,6,0.812487481,0.03899032
2021,7,0.297632085,0.051904438
2021,8,-1.605026434,-0.023584249
2021,9,-0.91414846,-0.003781469
2021,10,1.045431637,0.084552753
2021,11,0.096596542,-0.011366337
2021,12,-0.796956002,0.044649936
2022,1,-1.76149412,0.008762452
2022,2,1.021080465,0.064269133
2022,3,-1.64989895,0.083101895
2022,4,-0.868457948,0.093457271
2022,5,-1.110890978,-0.003558196
2022,6,-0.469776454,0.035042663
2022,7,0.488565326,0.035510539
2022,8,0.90226582,0.017511865
2022,9,0.384319713,0.011442866
2022,10,-1.362276167,0.020181188
2022,11,0.502716267,0.08437475
2022,12,-0.809568027,0.017112657
2023,1,-0.563676478,0.019058692
2023,2,0.650068057,0.014340918
2023,3,0.314210063,-0.010508997
2023,4,-0.77815024,0.032396595
2023,5,0.151415156,
2023,6,-0.245429717,
2023,7,-2.140378316,
2023,8,-1.212077467,
2023,9,0.030705752,
2023,10,-0.517923858,
2023,11,0.526960798,
2023,12,0.77118121,
2024,1,-1.751266563,
2024,2,1.222449236,
2024,3,0.258318946,
2024,4,-0.201409828,
2024,5,0.477712902,
2024,6,-0.931262105,
2024,7,0.509700901,
2024,8,0.026369162,
2024,9,-2.040653149,
2024,10,0.559409856,
2024,11,0.125934667,
2024,12,0.193317769,
2025,1,-0.972674369,
2025,2,0.772664888,
2025,3,1.78833585,
2025,4,0.070292397,
2025,5,0.859246549,
2025,6,0.981624184,
2025,7,0.098154558,
2025,8,0.534548732,
2025,9,0.848131537,
