"month","neer","geo","currency","dln_neer"
"2018-07",1.9558,"BG","BGN",0
"2018-08",1.9558,"BG","BGN",0
"2018-09",1.9558,"BG","BGN",0
"2018-10",1.9558,"BG","BGN",0
"2018-11",1.9558,"BG","BGN",0
"2018-12",1.9558,"BG","BGN",0
"2019-01",1.9558,"BG","BGN",0
"2019-02",1.9558,"BG","BGN",0
"2019-03",1.9558,"BG","BGN",0
"2019-04",1.9558,"BG","BGN",0
"2019-05",1.9558,"BG","BGN",0
"2019-06",1.9558,"BG","BGN",0
"2019-07",1.9558,"BG","BGN",0
"2019-08",1.9558,"BG","BGN",0
"2019-09",1.9558,"BG","BGN",0
"2019-10",1.9558,"BG","BGN",0
"2019-11",1.9558,"BG","BGN",0
"2019-12",1.9558,"BG","BGN",0
"2020-01",1.9558,"BG","BGN",0
"2020-02",1.9558,"BG","BGN",0
"2020-03",1.9558,"BG","BGN",0
"2020-04",1.9558,"BG","BGN",0
"2020-05",1.9558,"BG","BGN",0
"2020-06",1.9558,"BG","BGN",0
"2020-07",1.9558,"BG","BGN",0
"2020-08",1.9558,"BG","BGN",0
"2020-09",1.9558,"BG","BGN",0
"2020-10",1.9558,"BG","BGN",0
"2020-11",1.9558,"BG","BGN",0
"2020-12",1.9558,"BG","BGN",0
"2021-01",1.9558,"BG","BGN",0
"2021-02",1.9558,"BG","BGN",0
"2021-03",1.9558,"BG","BGN",0
"2021-04",1.9558,"BG","BGN",0
"2021-05",1.9558,"BG","BGN",0
"2021-06",1.9558,"BG","BGN",0
"2021-07",1.9558,"BG","BGN",0
"2021-08",1.9558,"BG","BGN",0
"2021-09",1.9558,"BG","BGN",0
"2021-10",1.9558,"BG","BGN",0
"2021-11",1.9558,"BG","BGN",0
"2021-12",1.9558,"BG","BGN",0
"2022-01",1.9558,"BG","BGN",0
"2022-02",1.9558,"BG","BGN",0
"2022-03",1.9558,"BG","BGN",0
"2022-04",1.9558,"BG","BGN",0
"2022-05",1.9558,"BG","BGN",0
"2022-06",1.9558,"BG","BGN",0
"2022-07",1.9558,"BG","BGN",0
"2022-08",1.9558,"BG","BGN",0
"2022-09",1.9558,"BG","BGN",0
"2022-10",1.9558,"BG","BGN",0
"2022-11",1.9558,"BG","BGN",0
"2022-12",1.9558,"BG","BGN",0
"2023-01",1.9558,"BG","BGN",0
"2023-02",1.9558,"BG","BGN",0
"2023-03",1.9558,"BG","BGN",0
"2023-04",1.9558,"BG","BGN",0
"2023-05",1.9558,"BG","BGN",0
"2023-06",1.9558,"BG","BGN",0
"2023-07",1.9558,"BG","BGN",0
"2023-08",1.9558,"BG","BGN",0
"2023-09",1.9558,"BG","BGN",0
"2023-10",1.9558,"BG","BGN",0
"2023-11",1.9558,"BG","BGN",0
"2023-12",1.9558,"BG","BGN",0
"2024-01",1.9558,"BG","BGN",0
"2024-02",1.9558,"BG","BGN",0
"2024-03",1.9558,"BG","BGN",0
"2024-04",1.9558,"BG","BGN",0
"2024-05",1.9558,"BG","BGN",0
"2024-06",1.9558,"BG","BGN",0
"2024-07",1.9558,"BG","BGN",0
"2024-08",1.9558,"BG","BGN",0
"2024-09",1.9558,"BG","BGN",0
"2024-10",1.9558,"BG","BGN",0
"2024-11",1.9558,"BG","BGN",0
"2024-12",1.9558,"BG","BGN",0
"2025-01",1.9558,"BG","BGN",0
"2025-02",1.9558,"BG","BGN",0
"2025-03",1.9558,"BG","BGN",0
"2025-04",1.9558,"BG","BGN",0
"2025-05",1.9558,"BG","BGN",0
"2025-06",1.9558,"BG","BGN",0
"2025-07",1.9558,"BG","BGN",0
"2025-08",1.9558,"BG","BGN",0
"2025-09",1.9558,"BG","BGN",0
"2025-10",1.9558,"BG","BGN",0
"2025-11",1.9558,"BG","BGN",0
"2025-12",1.9558,"BG","BGN",0
"1999-01",36.827,"CZ","CZK",NA
"1999-02",37.908,"CZ","CZK",2.8930899803965
"1999-03",38.393,"CZ","CZK",1.27129797019205
"1999-04",37.643,"CZ","CZK",-1.97281373245528
"1999-05",37.553,"CZ","CZK",-0.239374549112004
"1999-06",36.418,"CZ","CZK",-3.06901105845445
"1999-07",36.664,"CZ","CZK",0.673218929717123
"1999-08",36.573,"CZ","CZK",-0.248508395570424
"1999-09",35.775,"CZ","CZK",-2.20609378086043
"1999-10",36.612,"CZ","CZK",2.31267300800186
"1999-11",36.077,"CZ","CZK",-1.47205123439016
"1999-12",36.103,"CZ","CZK",0.0720421200457899
"2000-01",35.79,"CZ","CZK",-0.870743960115483
"2000-02",35.585,"CZ","CZK",-0.574432402670011
"2000-03",36.223,"CZ","CZK",1.77700754413634
"2000-04",36.324,"CZ","CZK",0.278440363498422
"2000-05",36.135,"CZ","CZK",-0.521675509263764
"2000-06",35.622,"CZ","CZK",-1.42985002183509
"2000-07",35.424,"CZ","CZK",-0.557386799036719
"2000-08",35.37,"CZ","CZK",-0.152555330883697
"2000-09",35.55,"CZ","CZK",0.507615303186038
"2000-10",34.869,"CZ","CZK",-1.93419739195693
"2000-11",34.628,"CZ","CZK",-0.693557897615316
"2000-12",35.047,"CZ","CZK",1.20274144524544
"2001-01",34.69,"CZ","CZK",-1.02385568243233
"2001-02",34.642,"CZ","CZK",-0.138464223357015
"2001-03",34.552,"CZ","CZK",-0.260138308968827
"2001-04",34.526,"CZ","CZK",-0.07527722640428
"2001-05",34.195,"CZ","CZK",-0.963322884429774
"2001-06",33.78,"CZ","CZK",-1.22105231704053
"2001-07",33.98,"CZ","CZK",0.590320486413187
"2001-08",34.322,"CZ","CZK",1.00144317363253
"2001-09",33.912,"CZ","CZK",-1.20176139297752
"2001-10",33.62,"CZ","CZK",-0.86478060698667
"2001-11",33.097,"CZ","CZK",-1.56784841460889
"2001-12",31.962,"CZ","CZK",-3.48949466714634
"2002-01",31.902,"CZ","CZK",-0.187899341266062
"2002-02",31.612,"CZ","CZK",-0.913190840752787
"2002-03",31.013,"CZ","CZK",-1.91303239235383
"2002-04",30.64,"CZ","CZK",-1.21001265467999
"2002-05",30.418,"CZ","CZK",-0.72718064222137
"2002-06",29.267,"CZ","CZK",-3.85739370204354
"2002-07",30.33,"CZ","CZK",3.56767202707484
"2002-08",30.444,"CZ","CZK",0.375160870465541
"2002-09",30.285,"CZ","CZK",-0.523638997223452
"2002-10",30.778,"CZ","CZK",1.61476086087493
"2002-11",30.857,"CZ","CZK",0.256347994684525
"2002-12",31.577,"CZ","CZK",2.3065378493067
"2003-01",31.572,"CZ","CZK",-0.0158355635416108
"2003-02",31.802,"CZ","CZK",0.725852904404922
"2003-03",31.947,"CZ","CZK",0.454909881115118
"2003-04",31.433,"CZ","CZK",-1.62199832401528
"2003-05",31.333,"CZ","CZK",-0.318644121376899
"2003-06",31.572,"CZ","CZK",0.759879659872142
"2003-07",32.22,"CZ","CZK",2.0316725902672
"2003-08",32.44,"CZ","CZK",0.680485149838406
"2003-09",31.844,"CZ","CZK",-1.85432480208805
"2003-10",32.035,"CZ","CZK",0.598007386465316
"2003-11",32.095,"CZ","CZK",0.187119967275651
"2003-12",32.41,"CZ","CZK",0.976676238971441
"2004-01",33.323,"CZ","CZK",2.77808321065933
"2004-02",32.435,"CZ","CZK",-2.70097625950303
"2004-03",32.833,"CZ","CZK",1.21960205091161
"2004-04",32.543,"CZ","CZK",-0.887181541037396
"2004-05",31.625,"CZ","CZK",-2.86143447160767
"2004-06",31.755,"CZ","CZK",0.410224620725419
"2004-07",31.693,"CZ","CZK",-0.195435694534574
"2004-08",31.878,"CZ","CZK",0.582028038726845
